0.00119439,1.08105,0.918945,13731
prob,player1,player2,pid
0.000796262,0.942383,1.05762,13781
prob,player1,player2,pid
0.00179159,1.12793,0.87207,13790
prob,player1,player2,pid
0.000796262,0.612305,1.3877,13756
prob,player1,player2,pid
0.000530842,0.487305,1.5127,13755
prob,player1,player2,pid
0.000796262,1.39355,0.606445,13777
prob,player1,player2,pid
0.000530842,0.737305,1.2627,13758
prob,player1,player2,pid
0.000530842,1.7998,0.200195,13757
prob,player1,player2,pid
0.00179159,0.0966797,1.90332,13678
prob,player1,player2,pid
0.000530842,1.94043,0.0595703,13792
prob,player1,player2,pid
0.000796262,1.1123,0.887695,13759
prob,player1,player2,pid
0.00119439,0.692383,1.30762,13764
prob,player1,player2,pid
0.00268739,0.25293,1.74707,13783
prob,player1,player2,pid
0.000530842,1.2373,0.762695,13760
prob,player1,player2,pid
0.00119439,1.56738,0.432617,13778
prob,player1,player2,pid
0.00179159,0.274414,1.72559,13675
prob,player1,player2,pid
0.000796262,0.424805,1.5752,13766
prob,player1,player2,pid
0.00119439,0.879883,1.12012,13787
prob,player1,player2,pid
0.00119439,1.57129,0.428711,13791
prob,player1,player2,pid
0.00179159,0.149414,1.85059,13673
prob,player1,player2,pid
0.00119439,0.774414,1.22559,13808
prob,player1,player2,pid
0.00119439,1.37988,0.620117,13789
prob,player1,player2,pid
0.00119439,1.27441,0.725586,13809
prob,player1,player2,pid
0.000796262,1.69238,0.307617,13806
prob,player1,player2,pid
0.000796262,1.87988,0.120117,13811
prob,player1,player2,pid
0.00268739,1.00293,0.99707,13786
prob,player1,player2,pid
0.000796262,1.77441,0.225586,13812
prob,player1,player2,pid
0.000796262,1.1748,0.825195,13771
prob,player1,player2,pid
0.00268739,0.157227,1.84277,13668
prob,player1,player2,pid
0.00268739,0.0361328,1.96387,13643
prob,player1,player2,pid
0.000530842,0.924805,1.0752,13810
prob,player1,player2,pid
0.00179159,0.0556641,1.94434,13665
prob,player1,player2,pid
0.000530842,1.6748,0.325195,13817
prob,player1,player2,pid
0.000530842,1.4248,0.575195,13813
prob,player1,player2,pid
0.000353894,1.9248,0.0751953,13826
prob,player1,player2,pid
0.000796262,0.674805,1.3252,13769
prob,player1,player2,pid
0.00179159,0.407227,1.59277,13818
prob,player1,player2,pid
0.00119439,0.180664,1.81934,13822
prob,player1,player2,pid
0.00179159,1.03613,0.963867,13823
prob,player1,player2,pid
0.000796262,1.18066,0.819336,13835
prob,player1,player2,pid
0.00119439,0.555664,1.44434,13825
prob,player1,player2,pid
0.00119439,0.305664,1.69434,13824
prob,player1,player2,pid
0.00268739,0.0126953,1.9873,13635
prob,player1,player2,pid
0.000796262,0.805664,1.19434,13838
prob,player1,player2,pid
0.000796262,0.680664,1.31934,13832
prob,player1,player2,pid
0.000796262,1.55566,0.444336,13840
prob,player1,player2,pid
0.000530842,1.80566,0.194336,13843
prob,player1,player2,pid
0.00179159,0.262695,1.7373,13837
prob,player1,player2,pid
0.00119439,1.2627,0.737305,13847
prob,player1,player2,pid
0.00119439,0.762695,1.2373,13845
prob,player1,player2,pid
0.000530842,1.68066,0.319336,13844
prob,player1,player2,pid
0.00179159,0.137695,1.8623,13836
prob,player1,player2,pid
0.000796262,1.7627,0.237305,13849
prob,player1,player2,pid
0.00119439,1.1377,0.862305,13850
prob,player1,player2,pid
0.00119439,0.637695,1.3623,13848
prob,player1,player2,pid
0.000796262,1.6377,0.362305,13851
prob,player1,player2,pid
0.00119439,0.387695,1.6123,13846
prob,player1,player2,pid
0.000796262,1.3877,0.612305,13853
prob,player1,player2,pid
0.00268739,0.282227,1.71777,13672
prob,player1,player2,pid
0.000796262,0.887695,1.1123,13852
prob,player1,player2,pid
0.00179159,0.782227,1.21777,13855
prob,player1,player2,pid
0.00179159,1.28223,0.717773,13856
prob,player1,player2,pid
0.00179159,0.0517578,1.94824,13667
prob,player1,player2,pid
0.00179159,0.145508,1.85449,13674
prob,player1,player2,pid
0.00119439,0.395508,1.60449,13862
prob,player1,player2,pid
0.00119439,1.05176,0.948242,13863
prob,player1,player2,pid
0.00119439,0.114258,1.88574,13854
prob,player1,player2,pid
0.00268739,0.532227,1.46777,13677
prob,player1,player2,pid
0.00268739,0.0947266,1.90527,13664
prob,player1,player2,pid
0.00119439,0.551758,1.44824,13861
prob,player1,player2,pid
0.000796262,0.614258,1.38574,13870
prob,player1,player2,pid
0.00179159,1.09473,0.905273,13876
prob,player1,player2,pid
0.000796262,1.55176,0.448242,13877
prob,player1,player2,pid
0.00403108,0.250977,1.74902,13650
prob,player1,player2,pid
0.00268739,1.25098,0.749023,13881
prob,player1,player2,pid
0.00403108,0.125977,1.87402,13646
prob,player1,player2,pid
0.00179159,0.0732422,1.92676,13883
prob,player1,player2,pid
0.00179159,0.0419922,1.95801,13882
prob,player1,player2,pid
0.00268739,0.375977,1.62402,13886
prob,player1,player2,pid
0.00268739,0.0107422,1.98926,13636
prob,player1,player2,pid
0.00119439,1.07324,0.926758,13895
prob,player1,player2,pid
0.000530842,1.61426,0.385742,13879
prob,player1,player2,pid
0.00179159,0.135742,1.86426,13884
prob,player1,player2,pid
0.00119439,0.541992,1.45801,13896
prob,player1,player2,pid
0.00119439,1.04199,0.958008,13897
prob,player1,player2,pid
0.00268739,0.750977,1.24902,13878
prob,player1,player2,pid
0.00119439,1.13574,0.864258,13905
prob,player1,player2,pid
0.00119439,0.104492,1.89551,13885
prob,player1,player2,pid
0.00179159,0.875977,1.12402,13898
prob,player1,player2,pid
0.000796262,0.604492,1.39551,13909
prob,player1,player2,pid
0.000796262,1.10449,0.895508,13910
prob,player1,player2,pid
0.000530842,1.60449,0.395508,13913
prob,player1,player2,pid
0.000796262,0.354492,1.64551,13906
prob,player1,player2,pid
0.000530842,1.35449,0.645508,13914
prob,player1,player2,pid
0.00119439,1.87598,0.124023,13911
prob,player1,player2,pid
0.00119439,0.385742,1.61426,13901
prob,player1,player2,pid
0.000796262,1.38574,0.614258,13916
prob,player1,player2,pid
0.000796262,0.885742,1.11426,13915
prob,player1,player2,pid
0.000530842,1.88574,0.114258,13917
prob,player1,player2,pid
0.000530842,0.854492,1.14551,13912
prob,player1,player2,pid
0.00403108,1.00098,0.999023,13656
prob,player1,player2,pid
0.00179159,0.270508,1.72949,13676
prob,player1,player2,pid
0.00179159,0.0830078,1.91699,13671
prob,player1,player2,pid
0.00403108,0.0166016,1.9834,13634
prob,player1,player2,pid
0.00268739,0.0791016,1.9209,13922
prob,player1,player2,pid
0.00119439,0.208008,1.79199,13920
prob,player1,player2,pid
0.00119439,0.333008,1.66699,13923
prob,player1,player2,pid
0.000796262,0.708008,1.29199,13927
prob,player1,player2,pid
0.000796262,0.833008,1.16699,13937
prob,player1,player2,pid
0.00119439,0.770508,1.22949,13921
prob,player1,player2,pid
0.000530842,1.70801,0.291992,13942
prob,player1,player2,pid
0.00179159,0.547852,1.45215,13946
prob,player1,player2,pid
0.00179159,1.0791,0.920898,13938
prob,player1,player2,pid
0.00179159,0.297852,1.70215,13943
prob,player1,player2,pid
0.00119439,1.54785,0.452148,13948
prob,player1,player2,pid
0.00179159,1.04785,0.952148,13947
prob,player1,player2,pid
0.00268739,0.0478516,1.95215,13919
prob,player1,player2,pid
0.00403108,0.500977,1.49902,13653
prob,player1,player2,pid
0.00268739,1.03223,0.967773,13680
prob,player1,player2,pid
0.00179159,1.01855,0.981445,13669
prob,player1,player2,pid
0.00268739,0.313477,1.68652,13688
prob,player1,player2,pid
0.00179159,1.02051,0.979492,13684
prob,player1,player2,pid
0.00179159,1.03418,0.96582,13690
prob,player1,player2,pid
0.00119439,0.797852,1.20215,13949
prob,player1,player2,pid
0.00179159,0.813477,1.18652,13952
prob,player1,player2,pid
0.00179159,0.172852,1.82715,13941
prob,player1,player2,pid
0.00268739,1.06348,0.936523,13694
prob,player1,player2,pid
0.000796262,1.79785,0.202148,13956
prob,player1,player2,pid
0.00179159,1.31348,0.686523,13955
prob,player1,player2,pid
0.00268739,1.50098,0.499023,13953
prob,player1,player2,pid
0.00179159,1.02441,0.975586,13683
prob,player1,player2,pid
0.00119439,0.672852,1.32715,13954
prob,player1,player2,pid
0.00268739,0.188477,1.81152,13686
prob,player1,player2,pid
0.00179159,0.438477,1.56152,13959
prob,player1,player2,pid
0.00179159,0.0869141,1.91309,13670
prob,player1,player2,pid
0.00179159,0.161133,1.83887,13695
prob,player1,player2,pid
0.00179159,0.688477,1.31152,13962
prob,player1,player2,pid
0.00119439,0.211914,1.78809,13960
prob,player1,player2,pid
0.00179159,1.04004,0.959961,13705
prob,player1,player2,pid
0.00119439,1.62988,0.370117,13793
prob,player1,player2,pid
0.00119439,0.411133,1.58887,13963
prob,player1,player2,pid
0.000796262,1.5498,0.450195,13794
prob,player1,player2,pid
0.00179159,0.53418,1.46582,13687
prob,player1,player2,pid
0.00179159,0.540039,1.45996,13702
prob,player1,player2,pid
0.000796262,1.21191,0.788086,13977
prob,player1,player2,pid
0.00119439,1.52441,0.475586,13795
prob,player1,player2,pid
0.00119439,0.227539,1.77246,13970
prob,player1,player2,pid
0.00179159,1.25879,0.741211,13730
prob,player1,player2,pid
0.00119439,0.336914,1.66309,13961
prob,player1,player2,pid
0.000530842,1.94238,0.0576172,13796
prob,player1,player2,pid
0.000353894,1.85449,0.145508,13918
prob,player1,player2,pid
0.000796262,1.41113,0.588867,13984
prob,player1,player2,pid
0.00179159,0.0986328,1.90137,13691
prob,player1,player2,pid
0.00119439,0.348633,1.65137,13991
prob,player1,player2,pid
0.00119439,0.844727,1.15527,13978
prob,player1,player2,pid
0.00119439,1.09863,0.901367,13996
prob,player1,player2,pid
0.000796262,1.22754,0.772461,13992
prob,player1,player2,pid
0.000353894,0.987305,1.0127,13797
prob,player1,player2,pid
0.00119439,0.598633,1.40137,13994
prob,player1,player2,pid
0.000530842,0.958008,1.04199,13999
prob,player1,player2,pid
0.00023593,1.9873,0.0126953,14000
prob,player1,player2,pid
0.00119439,1.27051,0.729492,13925
prob,player1,player2,pid
0.00179159,0.219727,1.78027,13871
prob,player1,player2,pid
0.00179159,0.196289,1.80371,13701
prob,player1,player2,pid
0.00179159,0.31543,1.68457,13700
prob,player1,player2,pid
0.000796262,1.11426,0.885742,13872
prob,player1,player2,pid
0.000796262,0.239258,1.76074,13864
prob,player1,player2,pid
0.000796262,1.39551,0.604492,13869
prob,player1,player2,pid
0.00119439,1.0498,0.950195,13717
prob,player1,player2,pid
0.00119439,0.22168,1.77832,13798
